npoints=6, a=(26.000000,7.500000,77.000000), b=(0.000000,1.000000,0.000000)
npoints=6, a=(27.000000,8.500000,80.000000), b=(0.000000,1.000000,0.000000)
npoints=6, a=(28.000000,9.000000,82.500000), b=(0.000000,0.000000,1.000000)
npoints=6, a=(28.000000,11.000000,84.500000), b=(0.000000,0.000000,1.000000)
npoints=5, a=(28.000000,10.000000,82.800000), b=(0.000000,0.000000,1.000000)
npoints=5, a=(29.000000,10.000000,84.000000), b=(0.000000,0.000000,1.000000)
npoints=4, a=(31.500000,11.000000,86.000000), b=(1.000000,0.000000,0.000000)
npoints=4, a=(26.000000,7.500000,80.000000), b=(0.000000,1.000000,0.000000)
npoints=4, a=(26.000000,7.250000,78.000000), b=(0.000000,1.000000,0.000000)
npoints=4, a=(27.000000,8.000000,81.000000), b=(0.000000,0.000000,1.000000)
npoints=4, a=(27.000000,9.000000,79.500000), b=(0.000000,0.000000,1.000000)
npoints=4, a=(28.000000,8.000000,81.500000), b=(0.000000,0.000000,1.000000)
npoints=3, a=(25.000000,7.000000,77.000000), b=(0.000000,1.000000,0.000000)
npoints=3, a=(30.000000,11.000000,85.000000), b=(1.000000,0.000000,0.000000)
npoints=3, a=(27.000000,7.000000,80.333333), b=(0.000000,0.000000,1.000000)
npoints=4, a=(31.000000,9.000000,84.000000), b=(0.707107,0.000000,0.707107)
npoints=3, a=(29.000000,8.000000,81.000000), b=(0.577350,0.577350,0.577350)
npoints=2, a=(30.500000,12.000000,87.000000), b=(1.000000,0.000000,0.000000)
npoints=2, a=(30.500000,11.000000,87.000000), b=(1.000000,0.000000,0.000000)
npoints=2, a=(31.000000,10.000000,85.000000), b=(1.000000,0.000000,0.000000)
npoints=2, a=(29.500000,9.500000,85.500000), b=(0.577350,0.577350,0.577350)
npoints=2, a=(29.500000,11.500000,85.000000), b=(0.408248,0.408248,0.816497)
npoints=2, a=(29.000000,9.500000,82.500000), b=(0.000000,0.948683,0.316228)
